date_rec|deaths_daily_nyt|positive_daily_cases_nyt|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-04-21|217|6951|8.34|6951|76380|NA|NA|83331
2020-04-22|242|7220|7.99|7220|83116|NA|NA|90336
2020-04-23|253|7608|7.91|7608|88577|NA|NA|96185
2020-04-24|270|8052|8.01|8052|92532|NA|NA|100584
2020-04-25|304|8548|8.19|8623|96642|NA|NA|105265
2020-04-26|309|8830|8.18|8830|99064|NA|NA|107894
2020-04-27|331|9035|8.32|9142|100778|NA|NA|109920
2020-04-28|353|9568|8.49|9568|103184|NA|NA|112752
2020-04-29|366|9947|8.4|9948|108492|NA|NA|118440
2020-04-30|385|10507|8.21|10509|117527|NA|NA|128036
2020-05-01|405|10922|8.16|10923|122909|NA|NA|133832
2020-05-02|428|11514|8.25|11509|127966|NA|NA|139475
2020-05-03|436|11668|8.11|11664|132171|NA|NA|143835
2020-05-04|454|11871|8.09|11848|134591|NA|NA|146439
2020-05-05|477|12283|8.07|12256|139544|NA|NA|151800
2020-05-06|497|12783|7.76|12758|151724|NA|NA|164482
2020-05-07|521|13431|7.82|13397|157931|NA|NA|171328
2020-05-08|537|13879|7.76|13868|164745|NA|NA|178613
2020-05-09|554|14387|7.71|14360|172002|NA|NA|186362
2020-05-10|561|14783|7.68|14764|177371|NA|NA|192135
2020-05-11|571|15069|7.68|15045|180820|NA|NA|195865
2020-05-12|597|15402|7.59|15346|186898|NA|NA|202244
2020-05-13|615|15850|7.52|15816|194641|NA|NA|210457
2020-05-14|632|16593|7.53|16507|202761|NA|NA|219268
2020-05-15|660|17190|7.4|17129|214418|NA|NA|231547
2020-05-16|671|18009|7.54|17982|220604|NA|NA|238586
2020-05-17|679|18537|7.44|18512|230432|NA|NA|248944
2020-05-18|684|19121|7.44|19023|236732|NA|NA|255755
2020-05-19|711|19762|7.43|19700|245308|NA|NA|265008
2020-05-20|721|20221|7.25|20122|257481|NA|NA|277603
2020-05-21|734|20934|7.18|20860|269785|NA|NA|290645
2020-05-22|754|21661|7.13|21618|281606|NA|NA|303224
2020-05-23|763|22731|6.9|22725|306857|NA|NA|329582
2020-05-24|771|23231|6.9|23222|313434|NA|NA|336656
2020-05-25|780|23997|6.95|23964|320726|NA|NA|344690
2020-05-26|789|24188|6.85|24140|328191|NA|NA|352331
2020-05-27|827|24787|6.76|24628|339528|NA|NA|364156
2020-05-28|859|25616|6.77|25412|349780|NA|NA|375192
2020-05-29|888|26735|6.77|26488|364743|NA|NA|391231
2020-05-30|903|27761|6.85|27673|376484|NA|NA|404157
2020-05-31|911|28686|6.87|28589|387700|NA|NA|416289
2020-06-01|923|29368|6.94|29263|392645|NA|NA|421908
2020-06-02|950|30052|6.87|29889|405032|NA|NA|434921
2020-06-03|971|31013|6.85|30777|418486|NA|NA|449263
2020-06-04|993|32276|6.83|31966|436336|NA|NA|468302
2020-06-05|1001|33417|6.9|33255|448892|NA|NA|482147
2020-06-06|1020|34809|6.96|34625|462725|NA|NA|497350
2020-06-07|1024|35663|6.95|35546|475680|NA|NA|511226
2020-06-08|1041|36581|7.01|36484|483629|NA|NA|520113
2020-06-09|1069|37393|6.94|37160|498551|NA|NA|535711
2020-06-10|1096|38305|6.89|38171|515479|NA|NA|553650
2020-06-11|1114|39735|6.89|39481|533196|NA|NA|572677
2020-06-12|1128|41467|6.92|41249|554448|NA|NA|595697
2020-06-13|1135|42911|6.98|42676|569014|NA|NA|611690
2020-06-14|1139|44199|7.04|44119|583011|NA|NA|627130
2020-06-15|1156|45257|7.06|45102|593377|NA|NA|638479
2020-06-16|1185|46105|7.04|45853|605568|NA|NA|651421
2020-06-17|1198|47142|7.02|46855|620567|NA|NA|667422
2020-06-18|1209|48426|6.95|48188|645490|NA|NA|693678
2020-06-19|1223|50014|7|49840|662473|NA|NA|712313
2020-06-20|1239|51640|7.03|51389|679952|NA|NA|731341
2020-06-21|1245|52854|7.08|52801|692974|NA|NA|745775
2020-06-22|1250|53840|7.08|53605|703740|NA|NA|757345
